Aircraft,Traveller_type,Seat_type,Date_flown,Recommended
,Solo Leisure,,February 2022,yes
,,Business Class,March 2022,no
,Couple Leisure,Business Class,March 2022,no
A320,Couple Leisure,Business Class,February 2022,no
A350,Solo Leisure,,February 2022,yes
A320,,Business Class,February 2022,no
A322,,Economy Class,February 2022,no
,Solo Leisure,Economy Class,February 2022,no
,Family Leisure,Business Class,February 2022,yes
,Couple Leisure,Economy Class,January 2022,no
A320,,Business Class,February 2022,no
,Family Leisure,Business Class,February 2022,yes
,Family Leisure,Business Class,February 2022,no
,Solo Leisure,Business Class,December 2021,yes
,Couple Leisure,Economy Class,February 2022,yes
,Couple Leisure,Business Class,January 2022,yes
,Couple Leisure,Business Class,January 2022,yes
,Couple Leisure,Business Class,January 2022,no
A380,Couple Leisure,Economy Class,January 2022,no
,Solo Leisure,Economy Class,November 2021,no
,Couple Leisure,Business Class,January 2022,yes
,Solo Leisure,Economy Class,January 2022,yes
,Solo Leisure,Business Class,January 2022,no
,,Economy Class,January 2022,no
,,Economy Class,January 2022,no
,Couple Leisure,Business Class,October 2021,no
,Family Leisure,Economy Class,December 2021,no
A319,,Business Class,December 2021,no
,Couple Leisure,Business Class,December 2021,yes
,Solo Leisure,,November 2021,no
A320-200,Solo Leisure,Business Class,December 2021,yes
A320-200,Solo Leisure,Business Class,December 2021,yes
A380,Family Leisure,Economy Class,December 2021,no
,,Economy Class,December 2021,yes
,Couple Leisure,First Class,November 2021,yes
A320,Solo Leisure,Business Class,December 2021,no
,Couple Leisure,Business Class,December 2021,yes
A320,Solo Leisure,Economy Class,December 2021,no
,Couple Leisure,Business Class,December 2021,no
,,Business Class,August 2021,no
,Family Leisure,Business Class,January 2021,no
,Solo Leisure,Economy Class,December 2021,no
,Solo Leisure,Economy Class,July 2021,no
,Family Leisure,Economy Class,November 2021,no
A320,,Business Class,November 2021,no
,,Business Class,November 2021,no
A321 neo,Solo Leisure,Business Class,November 2021,no
A321 neo,Solo Leisure,Business Class,November 2021,yes
A320,Solo Leisure,Economy Class,November 2021,no
,,Economy Class,November 2021,no
A320neo,Couple Leisure,Business Class,November 2021,no
A320 Neo,Couple Leisure,Business Class,November 2021,yes
,Solo Leisure,Economy Class,November 2021,no
,Solo Leisure,Economy Class,October 2021,no
,Couple Leisure,Economy Class,October 2021,no
,Family Leisure,Economy Class,November 2021,no
,Solo Leisure,,November 2021,no
A321,,Economy Class,November 2021,yes
A321,Family Leisure,Business Class,October 2021,yes
A320,Couple Leisure,Business Class,September 2021,yes
,Couple Leisure,,October 2021,yes
A320NEO,Family Leisure,Economy Class,October 2021,yes
A321 Neo,,Economy Class,October 2021,yes
A321,Family Leisure,Business Class,October 2021,yes
A320,,Economy Class,October 2021,no
,Couple Leisure,Economy Class,October 2021,yes
,Solo Leisure,,October 2021,yes
A350,,Business Class,October 2021,yes
,Solo Leisure,Business Class,September 2021,no
,Solo Leisure,Economy Class,November 2020,no
A320,Family Leisure,Economy Class,October 2021,no
A321,Couple Leisure,Business Class,October 2021,yes
,Couple Leisure,Economy Class,August 2021,no
,,Business Class,September 2021,no
,Solo Leisure,,October 2021,yes
A321,,Economy Class,September 2021,yes
A320,Couple Leisure,Economy Class,August 2021,no
